UserID,FirstName,LastName,Email,Password,PhoneNumber
1,John,Smith,johnsmith@gmail.com,9043543,207-111-1111
2,Lola,Norrano,lolanorrano@gmail.com,58303,207-222-2222
3,Jenny,Terria,jennyterria@gmail.com,3i04230,207-333-3333
4,Peter,Lamm,peterlamm@gmail.com,9t0[reogjwvfod,207-444-4444
5,Flynn,Lobster,flynnlobster@gmail.com,6yth898h,207-555-5555
6,Julius,Cesar,juliuscesar@gmail.com,dh6hd73,207-666-6666
7,Ghengis,Khan,ghengiskhan@gmail.com,dh57dh43,207-777-7777
8,Tina,Turner,tinaturner@gmail.com,sh47dhcj,207-888-8888
9,Serge,Ibaka,sergeibaka@gmail.com,dh5hcbh,207-999-9999
10,Susan,Collins,susancollins@gmail.com,dhf7fh58,207-121-2121
11,Count,Dracula,countdracula@gmail.com,dh847hsb,207-313-3131
12,Naruto,Uzumaki,narutouzumaki@gmail.com,7dh3bs8,207-414-4141
